Country,Clicks,Impressions,CTR,Position
United States,1395,86301,1.62%,9.04
United Kingdom,31,4702,0.66%,11.77
Canada,20,4831,0.41%,9.95
Australia,18,3980,0.45%,5.35
Germany,10,974,1.03%,15.55
Netherlands,7,318,2.2%,7.76
Ireland,7,311,2.25%,10.61
Kenya,7,143,4.9%,16.01
Sweden,5,299,1.67%,10.67
Spain,4,522,0.77%,12.06
South Africa,4,510,0.78%,10.16
Italy,4,455,0.88%,9.1
Japan,4,326,1.23%,7.86
Belgium,4,152,2.63%,8.42
Austria,3,227,1.32%,10.65
Norway,3,215,1.4%,9.27
India,2,1592,0.13%,17.4
France,2,649,0.31%,8.99
Pakistan,2,339,0.59%,15.98
Switzerland,2,304,0.66%,9.88
New Zealand,2,295,0.68%,8.29
Russia,2,273,0.73%,14.23
Egypt,2,144,1.39%,14.64
Singapore,2,143,1.4%,9.22
Bulgaria,2,95,2.11%,11.94
Brazil,1,1245,0.08%,13.89
Vietnam,1,1077,0.09%,16.73
Argentina,1,498,0.2%,14.08
China,1,413,0.24%,14.29
South Korea,1,337,0.3%,11.62
Poland,1,334,0.3%,13.38
Chile,1,295,0.34%,14.18
Portugal,1,179,0.56%,8.95
Denmark,1,161,0.62%,9.86
Nigeria,1,160,0.62%,13
Finland,1,158,0.63%,8.78
Romania,1,142,0.7%,10.57
Czechia,1,110,0.91%,8.53
Costa Rica,1,81,1.23%,10.78
Mongolia,1,62,1.61%,8.1
Azerbaijan,1,58,1.72%,18.83
Iceland,1,54,1.85%,10.65
Honduras,1,39,2.56%,14.82
Indonesia,0,675,0%,10.01
Mexico,0,630,0%,15.68
Philippines,0,582,0%,9.8
Malaysia,0,373,0%,9.49
Turkey,0,308,0%,11.13
Bangladesh,0,281,0%,15.63
Colombia,0,259,0%,17.92
Iraq,0,240,0%,19.27
Ukraine,0,209,0%,11.44
Morocco,0,206,0%,18.98
Thailand,0,205,0%,9.89
Hong Kong,0,195,0%,7.88
Israel,0,144,0%,10.9
Peru,0,138,0%,11.97
United Arab Emirates,0,134,0%,12.65
Taiwan,0,129,0%,9.9
Ecuador,0,128,0%,13.88
Serbia,0,126,0%,9.62
Algeria,0,122,0%,15.42
Saudi Arabia,0,122,0%,18.47
Venezuela,0,119,0%,17.58
Kazakhstan,0,117,0%,18.75
Jordan,0,111,0%,15.85
Greece,0,100,0%,9.54
Nepal,0,95,0%,11.57
Iran,0,90,0%,8.36
Tunisia,0,78,0%,16.72
Paraguay,0,77,0%,18.69
Hungary,0,71,0%,9.51
Lithuania,0,68,0%,11.57
Puerto Rico,0,66,0%,8.64
Belarus,0,64,0%,12.75
Uruguay,0,63,0%,17.92
Bolivia,0,63,0%,20.94
Moldova,0,62,0%,8.19
Dominican Republic,0,61,0%,12.33
Belize,0,59,0%,6.66
Georgia,0,55,0%,12.98
Panama,0,55,0%,13.16
Albania,0,54,0%,11.69
Cambodia,0,54,0%,13.44
Jamaica,0,54,0%,13.57
Ethiopia,0,53,0%,18.3
Latvia,0,51,0%,13.39
Croatia,0,50,0%,10.66
Estonia,0,49,0%,11.82
Uzbekistan,0,48,0%,10.96
Bahamas,0,47,0%,5.26
Bosnia & Herzegovina,0,47,0%,10.68
Maldives,0,45,0%,9.29
Sri Lanka,0,44,0%,11.84
Oman,0,43,0%,17.67
Slovakia,0,42,0%,11.93
Malta,0,41,0%,10.68
Ghana,0,41,0%,10.88
Slovenia,0,38,0%,9.05
Luxembourg,0,37,0%,7.27
Palestine,0,36,0%,14.69
Qatar,0,36,0%,21.28
Uganda,0,35,0%,8.66
Lebanon,0,33,0%,13.39
Guatemala,0,33,0%,18.94
Macedonia,0,32,0%,10.53
Myanmar (Burma),0,32,0%,11.62
Kuwait,0,32,0%,13.22
Bhutan,0,31,0%,6.32
Senegal,0,29,0%,19.66
Trinidad & Tobago,0,27,0%,9.78
Côte d’Ivoire,0,27,0%,19.33
Cyprus,0,26,0%,11.31
Mauritius,0,25,0%,10.32
Nicaragua,0,24,0%,12.75
Montenegro,0,23,0%,8.26
Zimbabwe,0,23,0%,9.35
El Salvador,0,23,0%,16.61
Tanzania,0,22,0%,10.41
Bahrain,0,21,0%,10.48
Kyrgyzstan,0,21,0%,10.52
Kosovo,0,18,0%,7.83
Armenia,0,17,0%,10.24
Jersey,0,16,0%,8.38
Cuba,0,16,0%,10.44
Botswana,0,14,0%,12.86
Congo - Brazzaville,0,14,0%,19
Angola,0,13,0%,22.08
Togo,0,12,0%,25
Papua New Guinea,0,11,0%,4.45
Barbados,0,11,0%,7.82
Unknown Region,0,11,0%,10.82
Libya,0,11,0%,11.45
Isle of Man,0,10,0%,5.5
Syria,0,10,0%,9.7
Cameroon,0,9,0%,7.44
Guam,0,9,0%,9.56
Somalia,0,8,0%,9.88
Mozambique,0,7,0%,5.29
Malawi,0,7,0%,12.71
Rwanda,0,6,0%,9.5
Guyana,0,6,0%,12
Fiji,0,5,0%,5.4
Grenada,0,5,0%,7
Afghanistan,0,5,0%,10.4
Gabon,0,5,0%,12.2
Burkina Faso,0,5,0%,26.2
U.S. Virgin Islands,0,4,0%,4.5
Cayman Islands,0,4,0%,7
Madagascar,0,4,0%,7.75
Namibia,0,4,0%,8.25
Aruba,0,3,0%,1
Andorra,0,3,0%,3.67
St. Lucia,0,3,0%,4.67
New Caledonia,0,3,0%,6.67
Laos,0,3,0%,7
Haiti,0,3,0%,7.33
Congo - Kinshasa,0,3,0%,8
Vanuatu,0,3,0%,8
Yemen,0,3,0%,10.33
Kiribati,0,3,0%,10.67
Benin,0,3,0%,12
Brunei,0,3,0%,12
Macau,0,3,0%,14.33
Liechtenstein,0,3,0%,15
Réunion,0,2,0%,3
Seychelles,0,2,0%,3.5
Sint Maarten,0,2,0%,4.5
Antigua & Barbuda,0,2,0%,5
Cook Islands,0,2,0%,5
Liberia,0,2,0%,5
Marshall Islands,0,2,0%,6.5
Zambia,0,2,0%,6.5
Guinea-Bissau,0,2,0%,8
Bermuda,0,2,0%,8.5
Northern Mariana Islands,0,2,0%,8.5
Timor-Leste,0,2,0%,8.5
Western Sahara,0,2,0%,9.5
Lesotho,0,2,0%,10.5
Burundi,0,2,0%,11
St. Kitts & Nevis,0,2,0%,11
Guernsey,0,2,0%,12
Mauritania,0,2,0%,12
Sudan,0,2,0%,15.5
Curaçao,0,2,0%,20
Tajikistan,0,2,0%,22
Mali,0,2,0%,26.5
St. Martin,0,2,0%,29.5
St. Barthélemy,0,1,0%,1
Monaco,0,1,0%,1
Martinique,0,1,0%,1
Svalbard & Jan Mayen,0,1,0%,1
South Sudan,0,1,0%,1
Swaziland,0,1,0%,1
Turks & Caicos Islands,0,1,0%,1
Tuvalu,0,1,0%,1
Guinea,0,1,0%,5
Comoros,0,1,0%,6
Suriname,0,1,0%,7
Falkland Islands (Islas Malvinas),0,1,0%,8
Gambia,0,1,0%,8
San Marino,0,1,0%,8
Gibraltar,0,1,0%,9
French Polynesia,0,1,0%,9
Samoa,0,1,0%,9
Faroe Islands,0,1,0%,11
Micronesia,0,1,0%,11
Solomon Islands,0,1,0%,12
Cape Verde,0,1,0%,13
Sierra Leone,0,1,0%,14
Caribbean Netherlands,0,1,0%,15
French Guiana,0,1,0%,16
Guadeloupe,0,1,0%,18
British Virgin Islands,0,1,0%,20
Chad,0,1,0%,45
